receipt_id,description,priceAfterCoupon,metabriteCampaignId,userFlaggedDescription,originalMetaBriteQuantityPurchased,needsFetchReviewReason,userFlaggedNewItem,targetPrice,userFlaggedBarcode,pointsEarned,preventTargetGapPoints,brandCode,barcode,originalMetaBriteDescription,originalMetaBriteItemPrice,deleted,originalReceiptItemText,pointsPayerId,userFlaggedPrice,rewardsGroup,originalFinalPrice,competitorRewardsGroup,userFlaggedQuantity,pointsNotAwardedReason,competitiveProduct,itemNumber,itemPrice,finalPrice,quantityPurchased,needsFetchReview,rewardsProductPartnerId,discountedItemPrice,partnerItemId,originalMetaBriteBarcode
5ff1e1eb0a720f0523000575,ITEM NOT FOUND,NULL,NULL,NULL,NULL,NULL,TRUE,NULL,4011,NULL,TRUE,NULL,4011,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,5,NULL,NULL,NULL,26,26,5,FALSE,NULL,NULL,1,NULL
5ff1e1bb0a720f052300056b,ITEM NOT FOUND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL
5ff1e1bb0a720f052300056b,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,NULL,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,USER_FLAGGED,TRUE,NULL,028400642255,NULL,TRUE,NULL,028400642255,NULL,NULL,NULL,NULL,5332f5fbe4b03c9a25efd0ba,10,DORITOS SPICY SWEET CHILI SINGLE SERVE,NULL,NULL,1,Action not allowed for user and CPG,NULL,NULL,10,10,1,TRUE,5332f5fbe4b03c9a25efd0ba,NULL,2,NULL
5ff1e1f10a720f052300057a,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,NULL,4011,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,1,NULL
5ff1e1ee0a7214ada100056f,ITEM NOT FOUND,NULL,NULL,NULL,NULL,NULL,TRUE,NULL,4011,NULL,TRUE,NULL,4011,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,4,NULL,NULL,NULL,28,28,4,FALSE,NULL,NULL,1,NULL
5ff1e1d20a7214ada1000561,ITEM NOT FOUND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL
5ff1e1d20a7214ada1000561,NULL,NULL,NULL,,NULL,USER_FLAGGED,TRUE,NULL,1234,NULL,TRUE,NULL,1234,NULL,NULL,NULL,NULL,NULL,2.56,NULL,NULL,NULL,3,NULL,NULL,NULL,2.56,2.56,3,TRUE,NULL,NULL,2,NULL
5ff1e1e40a7214ada1000566,ITEM NOT FOUND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4011,NULL,TRUE,NULL,4011,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,NULL,NULL,5332f5fbe4b03c9a25efd0ba,NULL,DORITOS SPICY SWEET CHILI SINGLE SERVE,NULL,NULL,NULL,Action not allowed for user and CPG,NULL,NULL,3.25,3.25,1,FALSE,5332f5fbe4b03c9a25efd0ba,NULL,1,028400642255
5ff1e1cd0a720f052300056f,MSSN TORTLLA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MISSION,NULL,NULL,NULL,NULL,MSSN TORTLLA,NULL,NULL,NULL,NULL,TACO BELL TACO SHELLS,NULL,NULL,NULL,NULL,2.23,2.23,1,NULL,NULL,2.23,1009,NULL
5ff1e1a40a720f0523000569,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BRAND,046000832517,NULL,NULL,NULL,NULL,5332f5f3e4b03c9a25efd0ae,NULL,OLD EL PASO BEANS & PEPPERS,NULL,NULL,NULL,Action not allowed for user and CPG,NULL,NULL,10,10,1,NULL,5332f5f3e4b03c9a25efd0ae,NULL,0,NULL
